index,ChEMBL ID,Name,canonical_smiles
115,CHEMBL2105450,OXYCLOZANIDE,O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl
116,CHEMBL4596966,SULFOMYXIN FREE ACID,CC(C)CCCCC(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCNCS(=O)(=O)O)NC1=O)[C@H](C)O.CCCCCCCC(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCNCS(=O)(=O)O)NC1=O)[C@H](C)O.CC[C@H](C)CCCCC(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCNCS(=O)(=O)O)NC1=O)[C@H](C)O
117,CHEMBL145347,LASALOCID,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C
118,CHEMBL187829,LEVEMOPAMIL,CC(C)[C@@](C#N)(CCCN(C)CCc1ccccc1)c1ccccc1
119,CHEMBL2107394,FLAVODIC ACID,O=C(O)COc1cc(OCC(=O)O)c2c(=O)cc(-c3ccccc3)oc2c1
120,CHEMBL2110869,LAIDLOMYCIN PROPIONATE,CCC(=O)OC[C@]1(O)O[C@H]([C@H]2C[C@H](C)[C@H]([C@]3(C)CC[C@H]([C@]4(C)CC[C@]5(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC(=O)CC)[C@H](C)C(=O)O)O5)O4)O3)O2)[C@@H](C)C[C@H]1C
121,CHEMBL4302826,D-FLUOROMETHYLTYROSINE,N[C@H](Cc1ccc(OCF)cc1)C(=O)O
122,CHEMBL2105353,PENTABAMATE,CC(OC(N)=O)C(C)C(C)OC(N)=O
123,CHEMBL3989778,SORBITAN TRIOLEATE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@H]1OC[C@H](O)[C@H]1OC(=O)CCCCCCC/C=C\CCCCCCCC
124,CHEMBL2107892,TECELEUKIN,
125,CHEMBL2105321,RANIMYCIN,CCCCC(=O)OC1C(C=O)=CC(O)C(O)C1O
126,CHEMBL1550879,MECETRONIUM,CCCCCCCCCCCCCCCC[N+](C)(C)CC
127,CHEMBL2110969,PIMETINE,CN(C)CCN1CCC(Cc2ccccc2)CC1
128,CHEMBL2107936,MITOMALCIN,
129,CHEMBL35802,PENTAQUINE,COc1cc(NCCCCCNC(C)C)c2ncccc2c1
130,CHEMBL2103808,EPETIRIMOD ESYLATE,CC(C)Cn1cnc2c(N)nc3cccnc3c21.CCS(=O)(=O)O.O
131,CHEMBL2110765,BATELAPINE,Cc1nc2n(n1)C(N1CCN(C)CC1)=Nc1ccccc1C2
132,CHEMBL1823518,RABACFOSADINE,CCOC(=O)[C@H](C)NP(=O)(COCCn1cnc2c(NC3CC3)nc(N)nc21)N[C@@H](C)C(=O)OCC
133,CHEMBL2107701,SODIUM ETHASULFATE,CCCCC(CC)COS(=O)(=O)[O-].[Na+]
134,CHEMBL2110624,TELUDIPINE,CCOC(=O)C1=C(C)NC(CN(C)C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C
135,CHEMBL88240,ALNIDITAN,c1ccc2c(c1)CC[C@H](CNCCCNC1=NCCCN1)O2
136,CHEMBL2110698,ORCONAZOLE,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)cc1
137,CHEMBL2110702,SERAZAPINE,COC(=O)c1c2n(c3ccccc13)Cc1ccccc1N1CCN(C)CC21
138,CHEMBL101740,CIDOXEPIN,CN(C)CC/C=C1/c2ccccc2COc2ccccc21
139,CHEMBL2108440,MITOCARCIN,
